Voter_ID,Full_Name,Father_Mother_Name,Date_of_Birth,Gender,Address,City,State,PIN_Code,Polling_Station,Registration_Date
EXZ9580800,Oscar Brahmbhatt,Ishwar Sheth,1979-03-11,Male,"461, Chopra, Khammam 013290",Jalgaon,Tamil Nadu,846997,PS-005,2019-03-27
EKB3404694,Ekaja Dhar,Girish Ratti,1992-09-01,Male,"82/222, Barad Road, Imphal-922205",Kolhapur,Delhi,190113,PS-047,2020-04-05
RZM1606243,Fitan Butala,Mason Zachariah,1993-03-25,Female,"20/072, Deol Nagar, Ambarnath-910245",Agra,Maharashtra,090326,PS-007,2024-03-31
JVV1586907,Aarav Shetty,Oliver Acharya,1943-02-05,Other,"46/53, Uppal, Ranchi-891416",Kolhapur,Punjab,639855,PS-010,2020-05-09
QRM4199803,Yashawini Chaudhari,Janaki Lad,1955-12-21,Male,"97/236, Dube Nagar, Jalna-546772",Secunderabad,Rajasthan,710730,PS-044,2024-05-31
EMZ0502993,Shravya Kothari,Tara Chada,1936-04-24,Female,"H.No. 63, Sampath Marg, Srinagar-800537",Medininagar,Kerala,048964,PS-050,2022-08-15
GLE9633188,Janaki Thaker,Nilima Rau,1940-12-08,Female,"13/623, Mittal Ganj, Mumbai-071469",Jalandhar,Punjab,797341,PS-027,2025-05-13
PED7387208,Orinder Mahajan,Neelima Hora,1955-06-01,Female,"32, Mutti Chowk, Jalandhar-100051",Raurkela Industrial Township,West Bengal,234159,PS-020,2021-04-10
FUT4041865,Ayush Mannan,Yashica Kale,1990-07-28,Female,"H.No. 56, Sathe Marg, Silchar 047350",Sultan Pur Majra,West Bengal,392831,PS-020,2021-07-07
DEX5496878,Garima Bhat,Yasti Bera,1962-10-25,Male,"324, Ahuja Road, Kollam-102918",Shahjahanpur,Tamil Nadu,170876,PS-029,2016-11-07
NRK3097172,Lekha Bahri,Warinder Patla,1990-12-19,Male,"H.No. 03, Sawhney Ganj, Khandwa-306773",Machilipatnam,Uttar Pradesh,182226,PS-015,2022-11-20
SYC6708418,onkar bhasin,Sai Madan,1942-02-17,Other,"H.No. 645, Bahl Zila, Kharagpur-681579",Gaya,West Bengal,878003,PS-004,2024-11-29
OUS0529261,Panini Borah,Ekavir Sharaf,1961-02-09,Other,"98/121, Agarwal Ganj, Miryalaguda 384699",Kishanganj,Maharashtra,723310,PS-039,2020-05-23
FFQ5896411,Ekbal Nath,Upasna Hayre,1955-12-19,Male,"H.No. 857, Sagar Marg, Dindigul-749160",Kharagpur,Tamil Nadu,364587,PS-017,2022-03-03
AEM6306393,Pushti Hans,Owen Bhagat,1983-06-11,Female,"73, Patel Road, Chittoor-561526",Uluberia,West Bengal,914762,PS-014,2022-03-13
DZO4327691,Krishna Kant,Tejas Prabhakar,1948-02-02,Female,"H.No. 961, Sengupta Road, Tiruchirappalli 391149",Varanasi,Kerala,482073,PS-011,2022-11-29
QOI2932360,Gauri Nadig,Daksh Rama,1957-08-15,Other,"02/59, Doshi Zila, Shimoga-372162",Tenali,Punjab,323584,PS-011,2017-02-20
QEW8804290,Idika Pau,Jacob Sarin,1944-02-14,Male,"80/29, Dayal Road, Ranchi-367881",Bahraich,Kerala,866943,PS-042,2019-01-14
PTQ6349229,Vyanjana Dora,Chatresh Gulati,1955-02-18,Male,"074, Sibal Street, Bhiwandi 075877",Gorakhpur,West Bengal,151342,PS-040,2018-10-08
RAG2845364,Ekaja Oak,Zarna Kalita,2002-11-12,Female,"60/170, Rama Ganj, Surat 759001",Vadodara,Uttar Pradesh,794907,PS-026,2025-02-22
OYY2954772,Sathvik Agarwal,Yahvi Pillay,1954-12-21,Female,"H.No. 86, Bava Chowk, Munger-620363",Avadi,West Bengal,394689,PS-048,2022-04-30
EEM3407423,Laksh Kuruvilla,Varsha Dora,2006-08-29,Male,"09, Chakraborty Zila, Srinagar-193592",Vellore,West Bengal,337605,PS-018,2019-01-30
YVK1101572,Watika Palla,Upkaar Saini,1946-08-20,Other,"599, Bobal, Hazaribagh-337034",Durg,Rajasthan,474890,PS-028,2020-07-07
